x,y,heading,curvature,signed_curvature,dist_origin,p2p_distance,direction
-329.77513850329717,1083.7896482340532,162.88421555472507,0.004795012146526164,0.004795012146526164,40,0.49999998789572064,1
-329.62734443709019,1083.3119906479637,162.73454130343299,0.0046786003351933624,0.0046786003351933624,40.5,0.49999985555475995,1
-329.47843371459874,1082.8346799423414,162.61752122869598,0.0034909435515223406,0.0034909435515223406,41,0.49999991297463153,1
-329.32869519953977,1082.3576282306603,162.53701131183934,0.0020696246085592069,0.0020696246085592069,41.5,0.49999995850987633,1
-329.17846330883572,1081.8807316278576,162.49923846295735,0.0005674192340080382,0.0005674192340080382,42,0.49999999074932044,1
-329.02804393970155,1081.4038941190058,162.47304144284288,0.0027383737744279451,0.0027383737744279451,42.5,0.49999999645867266,1
-328.87695600863697,1080.9272681630171,162.32811425186412,0.007379474180588967,0.007379474180588967,43,0.49999986483556208,1
-328.72415179105116,1080.4511899545055,162.08715150428276,0.0056255766974181417,0.0056255766974181417,43.5,0.4999995895314393,1
-328.57014270343967,1079.9754997296782,162.08676507458952,0.0055986426922514376,-0.0055986426922514376,44,0.49999998906317245,1
-328.41746151285412,1079.4993823050168,162.39893650099717,0.013365803898688371,-0.013365803898688371,44.5,0.49999934802442447,1
-328.26755123317616,1079.0223849926842,162.67014775141413,0.0055683952542452623,-0.0055683952542452623,45,0.4999995279253418,1
-328.118969472478,1078.544971711988,162.71799068145359,0.0022282446743452926,0.0022282446743452926,45.5,0.49999998019735353,1
-327.96988145339924,1078.0677164518941,162.55197989127896,0.0093386372618719481,0.0093386372618719481,46,0.49999982072009097,1
-327.81856681923824,1077.5911631885276,162.18293783074216,0.016425056041134863,0.016425056041134863,46.5,0.49999913133572588,1
-327.66377555211943,1077.11572784747,161.83293613048852,0.0014725667656905392,0.0014725667656905392,47,0.4999990999020108,1
-327.50866662092267,1076.6403957766809,162.13808237732354,0.022778109741723854,-0.022778109741723854,47.5,0.49999935805727891,1
-327.35880492060505,1076.1633880995062,162.99068399739119,0.023356273481345398,-0.023356273481345398,48,0.49999485327919801,1
-327.2141299752945,1075.684776851464,163.22693685364953,0.0068602889873184423,0.0068602889873184423,48.5,0.49999956655290856,1
-327.06782426374042,1075.2066637840603,162.61956932182153,0.027231068538299305,0.027231068538299305,49,0.49999746644908494,1
-326.91653198735395,1074.7301032393898,162.31212057539346,0.0057660169965532276,-0.0057660169965532276,49.5,0.49999930563038031,1
-326.76661507939139,1074.2531103214694,162.95003150552157,0.038770407931034971,-0.038770407931034971,50,0.49999732303207828,1
-326.62383219558791,1073.7739344890754,163.67442243231673,0.0046287802650868742,-0.0046287802650868742,50.5,0.49999643024502333,1
-326.48215463617146,1073.2944285928147,163.2030089376683,0.037544555185306729,0.037544555185306729,51,0.49999843538849437,1
-326.33294050101296,1072.8172198076275,162.20617242399862,0.016882054535391704,0.016882054535391704,51.5,0.49999308274315019,1
-326.17974716941092,1072.3412664503473,162.30462235323296,0.023756402654076903,-0.023756402654076903,52,0.49999979515349358,1
-326.03194215138586,1071.8636202734974,163.34378612594043,0.029549298811633512,-0.029549298811633512,52.5,0.49999219355180058,1
